row,non_zero_column
0,[]
1,[]
2,[]
3,[]
4,[]
5,[311]
6,[115]
7,[]
8,[291]
9,[312]
10,[]
11,[]
12,[]
13,[]
14,[]
15,[]
16,[]
17,[]
18,[]
19,[]
20,[]
21,[]
22,[]
23,[]
24,[]
25,[]
26,[]
27,[]
28,[]
29,[]
30,[]
31,[225]
32,[]
33,[]
34,[]
35,[]
36,[]
37,[]
38,[]
39,[]
40,[]
41,[]
42,[]
43,[]
44,[]
45,[]
46,[]
47,[]
48,[]
49,[]
50,[]
51,[]
52,[]
53,[]
54,[]
55,[]
56,[170]
57,[]
58,[]
59,[]
60,[]
61,[]
62,[]
63,[]
64,[]
65,[]
66,[]
67,[]
68,[]
69,[225]
70,[]
71,[221]
72,[]
73,[]
74,[]
75,[]
76,[]
77,[]
78,[]
79,[]
80,[]
81,[]
82,[]
83,[]
84,[]
85,[]
86,[]
87,[113]
88,"[247, 269]"
89,[]
90,[]
91,[]
92,[]
93,[]
94,[]
95,[]
96,[]
97,[]
98,[]
99,[]
100,[]
101,[]
102,[]
103,[]
104,[]
105,[]
106,[77]
107,[]
108,[]
109,[]
110,[]
111,[66]
112,[73]
113,[]
114,[]
115,[74]
116,[]
117,[]
118,[]
119,[55]
120,[60]
121,[]
122,[274]
123,[]
124,"[66, 73]"
125,[58]
126,[207]
127,"[55, 67]"
128,[]
129,[]
130,"[60, 70, 249]"
131,[]
132,[66]
133,[68]
134,"[80, 323]"
135,[120]
136,[]
137,[125]
138,[]
139,[]
140,[185]
141,[]
142,[]
143,[]
144,[]
145,[85]
146,[]
147,[]
148,[]
149,[]
150,[]
151,[]
152,[131]
153,[]
154,[]
155,[]
156,[]
157,[152]
158,[177]
159,[]
160,"[164, 186]"
161,[]
162,[]
163,[177]
164,[]
165,[]
166,[]
167,[]
168,[]
169,[202]
170,[]
171,[]
172,[]
173,[]
174,[]
175,[]
176,[]
177,[133]
178,[176]
179,[]
180,[]
181,[]
182,[]
183,[]
184,[]
185,[]
186,[]
187,[]
188,[]
189,[]
190,[]
191,[]
192,[]
193,[171]
194,[]
195,[]
196,[]
197,[]
198,[]
199,[]
200,[]
201,[]
202,[]
203,[]
204,[]
205,[241]
206,[]
207,[]
208,[]
209,[237]
210,[]
211,[]
212,[]
213,[]
214,[]
215,[]
216,[]
217,[]
218,[]
219,[]
220,[]
221,[]
222,[]
223,[]
224,[]
225,[]
226,[]
227,[]
228,[257]
229,[]
230,[]
231,[]
232,[]
233,[]
234,[]
235,[]
236,[]
237,[]
238,[]
239,[]
240,[]
241,[]
242,[]
243,[]
244,[]
245,[]
246,[]
247,[]
248,[]
249,[]
250,[]
251,[]
252,[]
253,[]
254,[]
255,[]
256,[]
257,[]
258,[]
259,[]
260,[]
261,[]
262,[]
263,[]
264,[]
265,[]
266,[]
267,[]
268,[]
269,[]
270,[]
