timestamp,action,block,x0,y0,x1,y1,x2,y2,x3,y3,level,type
1705052560273.0957,0,13,66.5,3.1666666666666656,69.66666666666666,3.1666666666666656,69.66666666666666,6.333333333333331,66.5,6.333333333333331,0,0
1705052564143.5845,1,13,36.41666666666667,12.666666666666666,39.583333333333336,12.666666666666666,39.583333333333336,15.833333333333334,36.41666666666667,15.833333333333334,1,0
1705052567195.8286,0,14,72.83333333333334,3.1666666666666656,76.0,3.1666666666666656,76.0,6.333333333333331,72.83333333333334,6.333333333333331,0,0
1705052568963.8057,1,14,36.41666666666667,12.666666666666666,39.583333333333336,12.666666666666666,39.583333333333336,15.833333333333334,36.41666666666667,15.833333333333334,2,0
1705052572049.6326,0,18,60.16666666666666,19.0,63.333333333333336,19.0,63.333333333333336,22.166666666666668,60.16666666666666,22.166666666666668,0,0
1705052578186.7224,1,18,42.75,12.666666666666666,45.91666666666666,12.666666666666666,45.91666666666666,15.833333333333334,42.75,15.833333333333334,0,0
1705052582879.9626,0,21,60.16666666666666,25.33333333333333,63.333333333333336,25.33333333333333,63.333333333333336,31.666666666666668,60.16666666666666,31.666666666666668,0,0
1705052585714.6946,1,21,45.91666666666666,12.666666666666666,52.25,12.666666666666666,52.25,15.833333333333334,45.91666666666666,15.833333333333334,0,0
1705052589601.4885,0,22,66.5,25.33333333333333,69.66666666666666,25.33333333333333,69.66666666666666,31.666666666666668,66.5,31.666666666666668,0,0
1705052594518.3657,1,22,42.75,12.666666666666666,49.083333333333336,12.666666666666666,49.083333333333336,15.833333333333334,42.75,15.833333333333334,1,0
1705052599239.6777,0,19,66.5,19.0,69.66666666666666,19.0,69.66666666666666,22.166666666666668,66.5,22.166666666666668,0,0
1705052601716.5415,1,19,42.75,12.666666666666666,45.91666666666666,12.666666666666666,45.91666666666666,15.833333333333334,42.75,15.833333333333334,2,0
1705052605290.8584,0,11,12.666666666666664,25.33333333333333,15.83333333333333,25.33333333333333,15.83333333333333,31.666666666666668,12.666666666666664,31.666666666666668,0,0
1705052608816.1475,1,11,39.583333333333336,12.666666666666666,45.91666666666666,12.666666666666666,45.91666666666666,15.833333333333334,39.583333333333336,15.833333333333334,3,0
1705052613048.5725,0,8,12.666666666666664,19.0,15.83333333333333,19.0,15.83333333333333,22.166666666666668,12.666666666666664,22.166666666666668,0,0
1705052614854.0125,1,8,36.41666666666667,12.666666666666666,39.583333333333336,12.666666666666666,39.583333333333336,15.833333333333334,36.41666666666667,15.833333333333334,3,0
1705052618288.4685,0,2,12.666666666666664,3.1666666666666656,15.83333333333333,3.1666666666666656,15.83333333333333,6.333333333333331,12.666666666666664,6.333333333333331,0,0
1705052622049.8735,1,2,36.41666666666667,19.0,39.583333333333336,19.0,39.583333333333336,22.166666666666668,36.41666666666667,22.166666666666668,0,0
1705052625679.3596,0,1,6.333333333333331,3.1666666666666656,9.5,3.1666666666666656,9.5,6.333333333333331,6.333333333333331,6.333333333333331,0,0
1705052628453.0005,1,1,36.41666666666667,19.0,39.583333333333336,19.0,39.583333333333336,22.166666666666668,36.41666666666667,22.166666666666668,1,0
1705052631060.5605,0,0,0.0,3.1666666666666656,3.1666666666666616,3.1666666666666656,3.1666666666666616,6.333333333333331,0.0,6.333333333333331,0,0
1705052633279.9333,1,0,36.41666666666667,19.0,39.583333333333336,19.0,39.583333333333336,22.166666666666668,36.41666666666667,22.166666666666668,2,0
1705052636268.5256,0,10,6.333333333333331,25.33333333333333,9.5,25.33333333333333,9.5,31.666666666666668,6.333333333333331,31.666666666666668,0,0
1705052640191.1426,1,10,36.41666666666667,15.833333333333334,39.583333333333336,15.833333333333334,39.583333333333336,22.166666666666668,36.41666666666667,22.166666666666668,3,0
