timestamp,action,block,x0,y0,x1,y1,x2,y2,x3,y3,level,type
1706192157432,0,10,0.08333333333333333,0.6666666666666666,0.125,0.6666666666666666,0.125,0.8333333333333334,0.08333333333333333,0.8333333333333334,0,0
1706192159833,1,10,0.3958333333333333,0.3333333333333333,0.4791666666666667,0.3333333333333333,0.4791666666666667,0.4166666666666667,0.3958333333333333,0.4166666666666667,0,0
1706192162163,0,9,0.0,0.6666666666666666,0.041666666666666664,0.6666666666666666,0.041666666666666664,0.8333333333333334,0.0,0.8333333333333334,0,0
1706192164755,1,9,0.4375,0.25,0.5208333333333334,0.25,0.5208333333333334,0.3333333333333333,0.4375,0.3333333333333333,0,0
1706192166722,0,8,0.16666666666666666,0.5,0.20833333333333334,0.5,0.20833333333333334,0.5833333333333334,0.16666666666666666,0.5833333333333334,0,0
1706192168764,1,8,0.4583333333333333,0.16666666666666666,0.5,0.16666666666666666,0.5,0.25,0.4583333333333333,0.25,0,0
1706192172356,0,21,0.7916666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.7916666666666666,0.8333333333333334,0,0
1706192174528,1,21,0.4583333333333333,0.4166666666666667,0.5416666666666666,0.4166666666666667,0.5416666666666666,0.5,0.4583333333333333,0.5,0,0
1706192176388,0,22,0.875,0.6666666666666666,0.9166666666666666,0.6666666666666666,0.9166666666666666,0.8333333333333334,0.875,0.8333333333333334,0,0
1706192178553,1,22,0.4583333333333333,0.5,0.5416666666666666,0.5,0.5416666666666666,0.5833333333333334,0.4583333333333333,0.5833333333333334,0,0
1706192180132,0,23,0.9583333333333334,0.6666666666666666,1.0,0.6666666666666666,1.0,0.8333333333333334,0.9583333333333334,0.8333333333333334,0,0
1706192182556,1,23,0.4583333333333333,0.5833333333333334,0.5416666666666666,0.5833333333333334,0.5416666666666666,0.6666666666666666,0.4583333333333333,0.6666666666666666,0,0
1706192184122,0,18,0.7916666666666666,0.5,0.8333333333333334,0.5,0.8333333333333334,0.5833333333333334,0.7916666666666666,0.5833333333333334,0,0
1706192186199,1,18,0.4166666666666667,0.4166666666666667,0.4583333333333333,0.4166666666666667,0.4583333333333333,0.5,0.4166666666666667,0.5,0,0
1706192187519,0,19,0.875,0.5,0.9166666666666666,0.5,0.9166666666666666,0.5833333333333334,0.875,0.5833333333333334,0,0
1706192189503,1,19,0.4166666666666667,0.5,0.4583333333333333,0.5,0.4583333333333333,0.5833333333333334,0.4166666666666667,0.5833333333333334,0,0
1706192190662,0,20,0.9583333333333334,0.5,1.0,0.5,1.0,0.5833333333333334,0.9583333333333334,0.5833333333333334,0,0
1706192192589,1,20,0.4166666666666667,0.5833333333333334,0.4583333333333333,0.5833333333333334,0.4583333333333333,0.6666666666666666,0.4166666666666667,0.6666666666666666,0,0
